Date,Close,return_1d,vol_20d,ATR_pct,RSI,BB_width,MACD_hist,trend_strength,regime_kmeans,regime_hmm,regime_final
2015-10-26,8260.5498046875,-0.004207172582956553,0.007193356424668701,0.009374578682789313,63.64865655301128,0.075187421483368,18.667522736886767,-0.04015779396169379,Bull Market 📈,Bull Market 📈,Bull Market 📈
2015-10-27,8232.900390625,-0.0033471638954116756,0.007314484388936267,0.00905077878035559,57.820192046346364,0.07026455127477818,12.328310999486604,-0.040343007023654495,Bull Market 📈,Bull Market 📈,Bull Market 📈
2015-10-28,8171.2001953125,-0.007494344931314734,0.007177768971429046,0.00951336752524446,49.435054642307406,0.05822437962817898,3.197921460675772,-0.04066534657073095,Bull Market 📈,Bull Market 📈,Bull Market 📈
2015-10-29,8111.75,-0.00727557689096936,0.007431306668620287,0.009501199965107935,48.42884354569317,0.04629749686426665,-7.066993109373712,-0.04162817225382822,Sideways Market ➖,Bull Market 📈,Bull Market 📈 *
2015-10-30,8065.7998046875,-0.005664646384873739,0.00706067585467894,0.009545144288174,38.647576847130445,0.040775948393910896,-16.627256637531005,-0.04259040805084584,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-02,8050.7998046875,-0.0018597039801661053,0.0070843226720868685,0.00915391769822115,40.983261234997336,0.034970115890957464,-23.23162769148913,-0.0434785779454784,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-03,8060.7001953125,0.0012297400090901522,0.005193359715304835,0.009204262600218116,43.07452995959727,0.03675037562203096,-25.99505622729864,-0.0443887915198336,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-04,8040.2001953125,-0.0025432033822472278,0.0051036166741986,0.009635063967328656,43.35365520322379,0.03957081526216082,-28.08702683138892,-0.045022069910388346,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-05,7955.4501953125,-0.010540782311541208,0.00547376687582491,0.009858470545737689,28.55778343029594,0.04597541677911114,-33.684744941010734,-0.045649253212689915,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-06,7954.2998046875,-0.00014460408861305396,0.0053740569372099445,0.009660089853763357,19.475162199666045,0.05111860937155592,-35.774449922561395,-0.04511748592355181,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-09,7915.2001953125,-0.004915531264230055,0.005045371419656937,0.010950446853509899,11.484607890750851,0.05698927459939084,-37.896147725268,-0.044704436016573514,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-10,7783.35009765625,-0.01665783484975325,0.006009091453950391,0.011847177253965996,9.161593614781594,0.06899568941281517,-45.759421597502794,-0.044307376475905616,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-13,7762.25,-0.002710927478722036,0.006007037080386953,0.011651172484276006,8.99041522022921,0.0794297902971223,-49.6370970616725,-0.04430335774650583,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-16,7806.60009765625,0.005713562131630656,0.006265121099729812,0.012026921866771548,9.081843261256438,0.08586349431537503,-46.52339095614212,-0.0442625138213985,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-17,7837.5498046875,0.00396455648349936,0.005912087363267237,0.01182632144998936,14.357960772616394,0.08940294035283362,-39.939993352728976,-0.044072321740806206,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-18,7731.7998046875,-0.01349273722468125,0.0060084813460176585,0.012679559920573121,12.68802254717103,0.09461475957505448,-40.15979754186894,-0.043611925960551946,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-19,7842.75,0.014349853606560714,0.00699283281994703,0.012700546697473098,27.214724225098664,0.09315411848734577,-30.71136180009192,-0.04274066775495662,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-20,7856.5498046875,0.0017595619760288894,0.0070596907293571974,0.012746882759208263,31.09909836866636,0.09051254344489848,-21.828276751781765,-0.04205458597336354,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-23,7849.25,-0.0009291361817810317,0.007062590328080773,0.012309191314058669,32.98768652349854,0.08707710528697714,-15.061985281962244,-0.0409753139055522,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-24,7831.60009765625,-0.002248610038379506,0.00682283503846482,0.012222929728612865,32.850909595827645,0.08026885934052713,-10.603348939171312,-0.03967357260488883,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-26,7883.7998046875,0.006665267171503286,0.0071350667011644275,0.012113912640525326,37.01933205513885,0.07217345003373776,-3.3430291419711864,-0.038669016703731775,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-27,7942.7001953125,0.0074710662477730505,0.007454965635083809,0.011943586593253242,43.22728351847545,0.06323657986100106,5.727975018519402,-0.03787604549983456,Sideways Market ➖,Sideways Market ➖,Sideways Market ➖
2015-11-30,7935.25,-0.0009379927643368147,0.007332977981779972,0.011478625514487797,48.42800036373075,0.05607491625437868,11.210969430737556,-0.03704612055350826,Bull Market 📈,Sideways Market ➖,Sideways Market ➖ *
2015-12-01,7954.89990234375,0.0024762801857218797,0.007248141663090051,0.011104572552548769,50.045393198602895,0.05114860693596334,15.861554071305164,-0.03620140204723154,Bull Market 📈,Sideways Market ➖,Sideways Market ➖ *
2015-12-02,7931.35009765625,-0.00296041496142041,0.007180485641366287,0.010109980019583333,51.251058150113764,0.047554994599480704,16.953552991340104,-0.03560584651415484,Bull Market 📈,Sideways Market ➖,Sideways Market ➖ *
